Company Name,Excel Company ID,Year,Total Revenue,Gross Profit,EBITDA,EBIT,Net Income,Cash And Equivalents,Total Cash and ST Investments,Net Property,Total Assets,Total Debt,Total Equity,Capital Expenditure,Dividends per share
Pacific Andes International Holdings Ltd. (SEHK:1174),IQ881889,2011,44.1,8.01,3.34,3.24,1.6,73.1,73.7,1147.5,4354.8,1974.8,1871.3,233.5,0.006
Pacific Andes Resources Development Limited (SGX:P11),IQ882432,2011,-0.278,-0.278,-3.59,-3.64,-3.64,36,36,780.7,3372.5,1499,1711.3,192.9,0.011
Pacific Basin Shipping Ltd. (SEHK:2343),IQ3736362,2011,147.1,51.8,15.2,5.67,8.02,490.2,791.9,1975.4,3149.6,1033.1,1923.3,220.3,0.016
Pacific Century Premium Developments Ltd. (SEHK:432),IQ12517751,2011,4.8,-0.195,-5.88,-6.18,0.456,476.1,476.1,46.9,1948.8,423.2,1195.2,18.5,0
Pacific Century Regional Developments Limited (SGX:P15),IQ1795263,2011,561.9,227.6,111.4,98.7,69.1,13.6,13.7,0.037,607.9,12.9,581.5,0.017,0
Pacific Healthcare Holdings Ltd. (SGX:P47),IQ13008370,2011,,,,,,9.81,9.81,15.7,44.3,9.66,15.7,1.94,0
Pacific Online Ltd. (SEHK:543),IQ39335015,2011,23.4,12.9,4.71,4.65,4.11,88.3,88.8,42.6,179,0,145.4,20.7,0.03
Pacific Plywood Holdings Limited (SEHK:767),IQ4492806,2011,60.3,18.6,10.8,6.33,28,13.1,16.1,0.029,70.3,1.69,68.4,0.03,0
Pacific Radiance Ltd. (SGX:T8V),IQ35133351,2011,9.86,3.77,2.38,2.17,1.8,18.4,19.4,573.4,667.1,372.3,228.1,108.5,0
Pacific Textiles Holdings Limited (SEHK:1382),IQ27399595,2011,32.4,13.2,6.3,4.95,8.91,153.5,172.5,228.1,858.9,28.2,630,28.3,0.053
PacMOS Technologies Holdings Limited (SEHK:1010),IQ878318,2011,130.1,43.4,17.4,15.7,11.5,4.98,11.2,0.359,19.7,0,16.2,0.255,0
Pak Fah Yeow International Limited (SEHK:239),IQ4481130,2011,26.7,22.5,21.3,21.2,194,1.08,1.68,70.7,86.5,12.1,64.7,0.325,0.018
Pak Tak International Ltd. (SEHK:2668),IQ7658216,2011,24.7,19.3,-3.29,-4.24,46.7,0.4,0.4,27.3,39.5,7.24,26.3,1.59,0
Pak Wing Group (Holdings) Limited (SEHK:8316),IQ290180659,2011,16.1,2.17,-7.65,-8.78,-34.9,,,,,,,,
Paladin Ltd. (SEHK:495),IQ4468977,2011,1.48,0.133,-4.36,-6.18,-11.2,2.17,2.8,12.8,194.2,150.3,-14.2,0.011,0
Paliburg Holdings Ltd. (SEHK:617),IQ877646,2011,63.1,23,18.6,17.7,14.5,246.5,265.2,0.283,1512.8,13.8,1492,0.117,0.016
Pan Asia Environmental Protection Group Limited (SEHK:556),IQ39404690,2011,13,8.7,4.6,1.56,0.524,124.7,124.7,51.8,311.5,0,249.5,19.8,0
Pan Asia Mining Limited (SEHK:8173),IQ7653059,2011,3384.2,3136.7,795.4,674.1,546.8,33.5,36.9,1367.6,1404.7,83.7,1319.7,0.443,0
Pan Asian Holdings Limited (Catalist:5EW),IQ11690043,2011,172.5,144.3,69.7,62.2,65.9,8.57,8.57,7.95,47.2,5.8,24.7,0.459,0
Pan Hong Holdings Group Limited (SGX:P36),IQ29073030,2011,50.4,9.58,-5.28,-10.5,-11.2,42.9,46.3,2.76,497.1,70.2,262,0.257,0.01
"Pan Ocean Co., Ltd. (KOSE:A028670)",IQ22934121,2011,566.6,566.6,38.1,30.1,22.3,562.6,684.6,5507.2,7879.7,4113.6,2727.7,651.5,2.3
Pan-United Corporation Ltd (SGX:P52),IQ878883,2011,76.2,76.2,17.1,16.5,15.2,38.6,91.2,272.2,527.9,73.1,341,16.7,0.035
Paradise Entertainment Limited (SEHK:1180),IQ4508962,2011,580.8,542.7,336.4,225.6,227.2,21,21,24.8,83.7,26.1,44.4,3.18,0
Parkson Retail Asia Limited (SGX:O9E),IQ130287108,2011,80.6,30.2,19.2,18.5,15.9,96.1,96.1,69.8,286.3,1.04,126.9,9.64,0
Parkson Retail Group Limited (SEHK:3368),IQ25119401,2011,146.7,35.6,10,9.26,8,347.2,1048.5,551.2,2478.3,508.7,1097.2,166.9,0.037
Parkway Life Real Estate Investment Trust (SGX:C2PU),IQ36190710,2011,,,,,,36.2,36.2,1384,1429.6,497.3,896.2,0,0.096
Pavillon Holdings Ltd. (SGX:596),IQ8081340,2011,50.4,12.7,5.72,5.49,50.1,18.5,18.6,3.15,25.2,0,18.9,0.313,0.008
PAX Global Technology Limited (SEHK:327),IQ116777611,2011,246,54,20.6,14.2,12,192.2,195,1.8,334.5,0,267,0.395,0
PC Partner Group Limited (SEHK:1263),IQ145319805,2011,612,344.6,239.3,232.1,328.1,119.6,123.1,16.2,425,135.7,96.2,7.38,0.013
PCCW Limited (SEHK:8),IQ107195,2011,888.7,282,217.1,215.9,101.8,894.7,894.7,2581,7646.1,3920.6,1264.1,326.9,0.027
PCI Limited (SGX:P19),IQ878431,2011,799.1,280,173.7,146.3,161.8,56.4,56.9,5.58,161.6,0,99.3,2.08,0.029
Peace Map Holding Limited (SEHK:402),IQ26256851,2011,416.2,131.4,104.2,87.4,221,47.1,47.1,408.1,538.7,153.9,274,8.7,0
"Peak Sport Products Co., Ltd. (SEHK:1968)",IQ62592677,2011,2887.6,1201.3,1091.5,686.7,700.6,514.3,552.4,99,1002.6,33.1,830.8,24.6,0.023
Pearl Oriental Oil Limited (SEHK:632),IQ4497437,2011,164,43.6,12.7,7.96,8.7,28.2,28.2,13.8,536.7,0,423.4,5.64,0
PEC Ltd. (SGX:IX2),IQ60810028,2011,119.9,20.1,3.53,3.2,1.88,123.1,166.4,71.5,322.2,0.892,210.9,21.4,0.02
Pegasus Entertainment Holdings Limited (SEHK:1326),IQ222706829,2011,116.4,57.6,26.8,19.7,14.5,1.37,3.23,0.163,20.6,0.436,3.17,0.041,0
Pegasus International Holdings Ltd. (SEHK:676),IQ2491289,2011,647.7,276.9,215.5,212.7,88.7,9.63,10.2,81.6,183.5,5.36,159.5,1.03,0.001
Peking University Resources (Holdings) Company Limited (SEHK:618),IQ882009,2011,120.4,68.7,22,18.4,12.4,74.9,74.9,1.56,320.5,94.5,56.6,0.825,0
Penguin International Limited (SGX:P13),IQ7653067,2011,78.8,64.2,17,13.8,12.7,10.2,29.4,53.1,119.9,5.52,90.9,17.7,0
Perennial International Ltd. (SEHK:725),IQ7653074,2011,0,0,-33.3,-37.8,-50.4,18,18,39.4,95.2,18.4,63.9,0.712,0.005
Perennial Real Estate Holdings Limited (SGX:40S),IQ260598970,2011,702.7,329.5,214.7,188.9,154.2,,,,,,,,
Perfect Optronics Limited (SEHK:8311),IQ254633314,2011,5573.7,2149.6,2762.4,2202.1,2594.2,8.15,9.05,0.148,56.3,4.93,20.1,0.129,0
PERFECT SHAPE (PRC) HOLDINGS LIMITED (SEHK:1830),IQ144112934,2011,23.6,15.7,8.56,7.89,28.8,12,20,5.25,42,0,7.92,4.04,0
Perfectech International Holdings Ltd. (SEHK:765),IQ4481110,2011,289.8,212.1,142.3,121.9,119.2,10.1,21.4,6.39,49.7,4.28,35.1,1.77,0.003
Petra Foods Limited (SGX:P34),IQ5632957,2011,389.1,241.9,23.5,5.07,-82.5,24.7,41.2,363.1,1356.4,688,384.6,67.8,0.052
Petro-king Oilfield Services Limited (SEHK:2178),IQ113020409,2011,16.9,0.012,-1.42,-9.72,-13.6,12.1,12.1,3.46,205.9,17.2,167.3,2.25,0
PetroAsian Energy Holdings Limited (SEHK:850),IQ10837530,2011,111.4,44,31.6,30,30,26.8,32.8,23.6,165.4,11.5,136.9,28,0
PetroChina Co. Ltd. (SEHK:857),IQ121373,2011,21.2,17.1,10.1,9.63,7.15,12568,12653.9,281883.8,393974.9,65410.9,222413,55056.4,0.067
Pharmesis International Ltd. (SGX:BFK),IQ12005691,2011,21.3,19.2,12.4,12.4,35.3,5.22,7.48,5.01,25,0,24,0.108,0
Phoenitron Holdings Limited (SEHK:8066),IQ7687725,2011,24,17,4.59,3.55,4.31,9.73,9.73,4.08,82.2,6.37,70.5,6.16,0
Phoenix Healthcare Group Co. Ltd (SEHK:1515),IQ100704689,2011,2.69,-3.83,-11.2,-11.6,-1.9,68,72.7,19.4,233.1,41.1,163.5,7.06,0
Phoenix Satellite Television Holdings Ltd. (SEHK:2008),IQ1540415,2011,205.1,24.5,0.397,-4.93,46,257.7,440.7,191.9,1032.1,79.8,814.3,61.5,0.007
PICC Property and Casualty Co. Ltd. (SEHK:2328),IQ7320497,2011,-25.3,-25.3,-29.1,-29.4,-30.9,2911.9,12695.4,2623.6,54577.5,6624.2,7223.7,540.1,0.046
Pico Far East Holdings Ltd. (SEHK:752),IQ4272760,2011,4.48,2.29,-2.58,-2.64,-7.82,173.6,173.6,50.8,471.9,2.44,221.4,4.11,0.013
PINE Technology Holdings Ltd. (SEHK:1079),IQ6462461,2011,98.6,78.2,31.1,27.3,19.2,12.7,15.1,12.8,148.5,34.8,91.6,5.17,0
Pinestone Capital Limited (SEHK:8097),IQ285432276,2011,320.7,106,56.9,50,62.9,,,,,,,,
"Ping An Insurance (Group) Company of China, Ltd. (SEHK:2318)",IQ33018,2011,4.29,3.44,-4.72,-6.11,-5.72,5755.8,36725,3292.8,469548.6,29327.3,35202.8,1108,0.041
Ping An of China Trust - Ping An of China CSI HK Dividend ETF,IQ170250174,2011,221.8,75.5,42.6,16.4,15.1,,,,,,,,
Ping An of China Trust - Ping An of China CSI HK Mid Cap Select ETF,IQ170250173,2011,65.5,65.5,64.5,64.5,31.7,,,,,,,,
Ping An of China Trust - Ping An of China CSI RAFI HK50 ETF (SEHK:3098),IQ170250175,2011,156.3,140.9,47.3,38.4,27.8,,,,,,,,
Ping Shan Tea Group Limited (SEHK:364),IQ226461008,2011,0.517,0.211,-2.35,-2.48,-2.54,74.7,75,12.3,149.5,0,139,35.2,0
Pioneer Global Group Limited (SEHK:224),IQ878116,2011,27.9,21.4,15.7,12.4,33.6,8.89,8.89,532.4,712.9,231.2,428.1,0.19,0.005
Pizu Group Holdings Limited (SEHK:8053),IQ11071100,2011,158.7,55.5,47.7,29.4,15.3,1.09,1.56,0.309,29.9,20.3,2.1,0.157,0
Plastoform Holdings Limited (SGX:AYD),IQ28820674,2011,1.33,1.33,-0.725,-0.738,-2.93,2.4,2.4,2.16,31.5,4.21,5.25,0.427,0
Plato Capital Limited (Catalist:5PI),IQ7653075,2011,,,,,,14.4,14.4,0.093,41.6,0,39.7,0.083,0
Playmates Holdings Limited (SEHK:635),IQ4497467,2011,306.8,83.5,28.7,21.1,5.78,77.8,103.9,519.8,631.6,94.1,514.4,0.689,0.017
Playmates Toys Ltd. (SEHK:869),IQ30994817,2011,26.6,3.88,2.65,2.41,1.74,34.8,34.8,0.295,40.8,12.4,15.7,0.066,0
PME Group Ltd. (SEHK:379),IQ8089682,2011,66.8,36.3,16.2,13.8,7.6,24.9,34.1,77,210.3,58.9,86.6,14.5,0
PNE Industries Ltd (SGX:BDA),IQ7658185,2011,114.2,29.7,13.4,12.6,31.1,9.68,10.6,16.2,76.2,0,64.6,1.25,0.012
PNE Micron Holdings Ltd (Catalist:5BS),IQ7653078,2011,21.5,0.216,-12,-18.5,-14.6,5.96,6.17,11.7,22.9,0.188,19,0.801,0.002
PNG Resources Holdings Limited (SEHK:221),IQ7652939,2011,18.6,9.62,6.35,4.58,5.09,22.6,31.7,74.3,256.2,79.4,118.4,0.484,0
Poh Tiong Choon Logistics Limited (SGX:P01),IQ7689784,2011,2139.3,671.6,602.5,574.4,477.5,13.9,13.9,56.2,117.3,27.1,62.2,4.99,0.02
Pokfulam Development Company Limited (SEHK:225),IQ878692,2011,444.8,373.9,135.9,95.6,135,3.86,9.75,569.1,596.1,7.03,503.6,0,0.033
Polaris Ltd. (Catalist:5BI),IQ522383,2011,5188.8,1878.5,1123.1,976.3,1444.5,3.55,3.55,0.053,13.6,0.027,3.35,0,0
Pollux Properties Ltd. (Catalist:5AE),IQ8087528,2011,109.9,22.2,9.87,4.81,7.6,13.6,13.6,0.992,40.6,0.482,34.9,0.47,0
Poly Culture Group Corporation Limited (SEHK:3636),IQ247329797,2011,1687.1,71.2,34.6,24.4,51.1,220,221.9,37.7,579.2,127,241.4,19.7,0
"Poly Property Group Co., Limited (SEHK:119)",IQ875391,2011,9.44,5.97,-1.63,-2.88,0.462,2050.5,2050.6,332.8,15927.1,7349.9,4531.2,17.5,0
Polyard Petroleum International Group Limited (SEHK:8011),IQ7652905,2011,69.1,18,14.6,13.1,8.9,0.7,0.7,3.45,255.6,18,228.9,1.46,0
Polytec Asset Holdings Limited (SEHK:208),IQ7652916,2011,563.5,186.5,36.7,7.63,-3.2,48.1,49.6,249.9,2146.7,350.6,1740.2,34,0.004
Portico International Holdings Ltd. (SEHK:589),IQ10930155,2011,2911.3,361.4,172.5,103.5,86.4,78,168.4,105.7,649.8,144.2,378.8,37.6,0.101
Pou Sheng International (Holdings) Ltd. (SEHK:3813),IQ40427610,2011,,,,,,224.9,224.9,152.6,1788,219.1,1158.3,39.8,0
Power Assets Holdings Limited (SEHK:6),IQ874011,2011,266.3,26.4,8.7,6.5,4.91,754.1,1024.3,8137.9,15797.5,3980.8,9651.1,422.7,0.387
Powerleader Science & Technology Group Limited (SEHK:8236),IQ7658186,2011,33.2,3.43,2.37,0.892,0.694,68.1,72.2,45.4,307,129.9,131.4,2.24,0.01
Powerlong Real Estate Holdings Ltd (SEHK:1238),IQ34876466,2011,4630.9,802.6,785.9,599.9,373.7,289.9,290.5,344.4,6986.3,1984.4,2959.6,83,0.012
Powermatic Data Systems Limited (SGX:BCY),IQ878695,2011,1.79,-2.31,-6.16,-6.59,-6.06,18.7,19.2,20.3,50.7,0,43.5,0.173,0.05
Powerwell Pacific Holdings Limited (SEHK:8265),IQ117634393,2011,,,,,,6.87,6.87,1.51,19.4,1.53,9.74,0.555,0.005
PPS International (Holdings) Limited (SEHK:8201),IQ241435144,2011,151.3,99.3,29.1,26.8,22.3,5.28,5.5,0.717,11.6,7.24,0.249,0.223,0
Prada S.p.A (SEHK:1913),IQ7902889,2011,0,-3.49,-5.26,-5.85,2.06,169.3,172,940.9,4147.9,887.2,2121.5,328.9,0.102
Progen Holdings Limited (Catalist:583),IQ7653094,2011,12.3,1.91,-8.4,-147.3,-144.3,8.63,15.8,0.485,35.2,0.047,27.5,0.198,0
Prosperity International Holdings (H.K.) Limited (SEHK:803),IQ7653098,2011,351.4,51.5,3.83,-2.62,3.55,276.6,285.8,3.02,1129.9,242.7,731,13.4,0.003
Prosperity Investment Holdings Ltd. (SEHK:310),IQ7658084,2011,65.2,20.3,6.72,-107,-81.3,2.32,6.88,0.15,49.8,0,49.5,0.01,0
Prosperity REIT (SEHK:808),IQ26050867,2011,51.1,11.7,-1.16,-2.72,-6.61,8.83,8.83,1165.8,1176.1,298.4,818.3,0,0.02
Prosten Technology Holdings Ltd. (SEHK:8026),IQ7658192,2011,1.73,0.78,2,1.46,1.62,5.5,5.5,0.734,20.1,0.008,16.1,0.288,0
PS Group Holdings Ltd. (Catalist:5WD),IQ241857011,2011,27,7.03,4.59,3.87,0.83,0.192,0.195,3.21,11.9,4.3,6.51,0.131,0
PSL Holdings Limited (SGX:L6T),IQ10337792,2011,1508.7,261.8,195.6,166.6,730.1,11.2,12,31,74.4,13.1,41.3,0.769,0
Pteris Global Limited (Catalist:UD3),IQ30833778,2011,149,41,29.3,27.5,21.5,,,,,,,,
Public Financial Holdings Limited (SEHK:626),IQ876893,2011,111.6,50,25.9,21.7,22.3,1282.9,1328,128.3,6665.1,494.1,1049.2,2.78,0.027
PuraPharm Corporation Limited (SEHK:1498),IQ240793049,2011,,,,,,,,,,,,,
PW Medtech Group Limited (SEHK:1358),IQ248984451,2011,9.04,6,0,0,3.85,12.6,12.9,21.6,111.4,43.6,52,4.11,0
PYI Corporation Limited (SEHK:498),IQ831640,2011,,,,,,106.6,174.4,221.9,2413.9,330.1,1025.1,75.2,0.002
Q & M Dental Group (Singapore) Limited (SGX:QC7),IQ47389493,2011,386.9,54.5,12.4,10.8,8.54,13.6,13.6,8.34,36.5,1.82,27.3,3.16,0.007
Q Technology (Group) Company Limited (SEHK:1478),IQ275433476,2011,32.4,16.9,4.65,4.34,3.31,0.354,3.88,11.4,98.6,0,9.42,7.29,0
QAF Limited (SGX:Q01),IQ878167,2011,7.77,7.77,-3.63,-3.66,-37.8,35.9,72.5,311.5,688,108.2,412.2,57,0.05
Qian Hu Corporation Limited (SGX:BCV),IQ7653103,2011,3.28,0.443,-2.14,-2.16,-7.08,8.61,8.96,42,105.9,16,73.6,1.97,0.024
Qingdao Holdings International Limited (SEHK:499),IQ882610,2011,288.7,77.1,57.2,55.7,30.2,39.9,39.9,0,60.7,9.86,48.9,0,0
"Qingdao Port International Co., Ltd. (SEHK:6198)",IQ264504741,2011,228.4,132.3,34.4,18.3,16,473.9,473.9,2794.6,5176.2,0,2952.8,308.2,0
Qingling Motors Co. Ltd. (SEHK:1122),IQ878627,2011,7786.5,683.3,478.4,164.3,235.3,174.4,857.9,330.3,2083.1,0,1550.2,33.8,0.025
Qingmei Group Holdings Limited (SGX:KT9),IQ83730027,2011,4.86,4.81,0,0,1.71,75.8,75.8,80.5,238.9,3.8,194.5,46.8,0.024
"Qinhuangdao Port Co., Ltd. (SEHK:3369)",IQ35621128,2011,25.4,17.4,1.83,1.45,-2.46,1174.2,1174.2,2786.8,4883.7,2201.8,1933.3,555.8,0.02
QPL International Holdings Ltd. (SEHK:243),IQ873722,2011,-5.77,-5.85,-6.1,-6.26,-2.82,1.41,2.56,9.46,29.9,5.07,13.6,2.67,0
QT Vascular Ltd. (Catalist:5I0),IQ261279063,2011,268.1,87.3,61.1,51.4,47.2,6.6,6.6,1.6,16.6,43.7,-33.3,1.68,0
Quali-Smart Holdings Limited (SEHK:1348),IQ225991467,2011,,,,,,1.97,1.99,3.25,44.9,12.1,13,2.01,0
Quam Limited (SEHK:952),IQ882033,2011,634.9,116.5,47.1,43.2,35.6,19.9,22.1,2.32,262.6,39.6,58.1,1.09,0.001
Raffles Education Corporation Limited (SGX:NR7),IQ8088266,2011,31.6,23.7,7.22,5.23,4.31,64.8,69.6,163.1,1135.9,230.8,606.7,29.1,0.009
Raffles Medical Group Ltd (SGX:R01),IQ882724,2011,525.7,158.7,129.9,99.7,32.7,49.7,51.9,141.9,428.6,21.5,334.7,5.02,0.04
Raffles United Holdings Ltd (SGX:K22),IQ8081289,2011,21,11.9,5.14,4.85,4.72,6.47,6.64,22.7,142.6,47.4,76.6,1.27,0.01
Ramba Energy Limited (SGX:R14),IQ11323014,2011,,,,,,12.8,15.8,42.8,89.7,7.76,58.8,9.68,0
Raymond Industrial Ltd. (SEHK:229),IQ4497142,2011,2352.6,453.5,358.6,252.2,59,28.2,30.6,37.2,129.5,0,89,8.11,0.01
RCG Holdings Limited (SEHK:802),IQ10877699,2011,1700.3,140.4,209.8,114.6,41.4,8.79,9.65,39.6,506.3,14.6,479.2,0.313,0
Real Nutriceutical Group Limited (SEHK:2010),IQ89491063,2011,354.5,140.2,55.7,47.5,10.3,284.4,284.4,169.3,665,26.1,591.1,76.8,0.008
Realord Group Holdings Limited (SEHK:1196),IQ4483652,2011,131.5,90.8,59.7,58,47,28.1,41.2,26.8,100.1,4.79,76,3.65,0.005
Red Star Macalline Group Corporation Ltd. (SEHK:1528),IQ34765135,2011,-21.1,-21.1,0,0,-22.4,744.5,744.5,1848.4,4707.5,2132.7,1232,1293.7,0
Redco Properties Group Limited (SEHK:1622),IQ253959758,2011,1163.7,209.1,225.8,177,142,47,47,2.67,997.8,247.4,136.5,1.7,0
REF Holdings Limited (SEHK:8177),IQ311612137,2011,2.07,1.41,-1.67,-1.86,-3.18,,,,,,,,
Regal Hotels International Holdings Ltd. (SEHK:78),IQ875688,2011,19.5,14.8,5.77,5.46,7.71,142.6,191.5,2341.6,3312.1,898.9,2168.4,16.4,0.02
Regal International Group Ltd. (SGX:UV1),IQ243551921,2011,63.4,6.02,4.82,0.711,0.134,,,,,,,,
Regal REIT (SEHK:1881),IQ33216543,2011,,,,,,3.97,3.97,2963.2,2988.8,801.2,2109.9,0,0.02
Regent Pacific Group Ltd. (SEHK:575),IQ4508970,2011,0.118,0.118,-8.21,-8.76,-5.59,21.3,184.5,0.383,267.4,0,237.5,2.68,0
Regina Miracle International (Holdings) Limited (SEHK:2199),IQ305359488,2011,72.7,13.6,7.57,7.47,247.5,,,,,,,,
Religare Health Trust (SGX:RF1U),IQ217861114,2011,97.8,12.3,4.7,2.7,1.96,,,,,,,,
Renewable Energy Asia Group Limited (Catalist:5DW),IQ10837303,2011,1.69,0.002,-2.69,-2.85,-14.6,4.63,4.63,15.9,94.2,24.7,35.2,17.6,0
Renhe Commercial Holdings Co Ltd (SEHK:1387),IQ49245459,2011,77.5,47.4,19.6,12.9,5.93,442.5,442.5,123.9,7422.6,1524.6,4315.3,0,0
RENHENG Enterprise Holdings Limited (SEHK:3628),IQ142257575,2011,1013.9,759.2,355.1,309.3,230.7,17.2,17.2,2.57,40.5,0,30,0.237,0
Rentian Technology Holdings Limited (SEHK:885),IQ7652766,2011,184,65.3,28.2,27.6,30.3,23,97.8,0.009,159.8,0,159.2,0,0
REORIENT Group Limited (SEHK:376),IQ878815,2011,995.4,79.6,26.8,19.8,11.7,41,49.4,1.49,53.3,0,42.7,1.7,0
Resources Prima Group Limited (Catalist:5MM),IQ206591701,2011,4108.7,2208.1,1063.3,606.5,268,,,,,,,,
REX Global Entertainment Holdings Limited (SEHK:164),IQ7653083,2011,141.8,7.54,0.688,-1.13,-59.9,3.2,4.1,5.48,33.2,4.91,17,2.27,0
REX International Holding Limited (Catalist:5WH),IQ242323891,2011,954.7,376.5,196.8,190.3,159.8,0,0,0,7.64,0,7.64,,0
REXLot Holdings Limited (SEHK:555),IQ12912721,2011,82.6,3.4,-9.21,-9.71,-9.87,81.6,82.7,48.7,957,148.5,756.6,21.6,0.002
RH PetroGas Limited (SGX:T13),IQ4481209,2011,11.2,5.42,3.35,3.31,2.77,28.3,28.3,154.5,381.2,103.6,142.2,36.8,0
Richly Field China Development Limited (SEHK:313),IQ878367,2011,132.1,22.1,2.87,-1.18,-5.36,55,55,1.07,263.4,57.7,149.3,1.04,0
Rickmers Maritime (SGX:B1ZU),IQ34051565,2011,900.5,44,8.56,8.1,-1.4,71.7,71.7,1341.5,1476.7,938.4,501.9,0,0.031
Rivera Holdings Ltd. (SEHK:281),IQ878456,2011,78.8,11.6,4.07,2.3,2.55,64.1,98.8,0.157,285,0,259.6,5.48,0.002
Riverstone Holdings Limited (SGX:AP4),IQ22654388,2011,271.3,12.9,7.44,7.37,5.67,12,17.1,56.2,109.3,0.003,91.5,11.8,0.024
RM Group Holdings Limited (SEHK:8185),IQ247448351,2011,50.1,35,13,10.3,8.15,,,,,,,,
Road King Infrastructure Limited (SEHK:1098),IQ1461817,2011,55.1,9.2,2.38,0.711,-0.936,530.9,530.9,9.35,5291.8,1751.7,1892.6,2.33,0.077
RoadShow Holdings Limited (SEHK:888),IQ6927249,2011,28.9,20.1,7.68,5.74,14.5,26,71.4,10.8,127.8,0,107,4.52,0.01
Roma Group Limited (SEHK:8072),IQ226957594,2011,45.8,2.94,-26,-29.3,-49.5,1.41,1.45,0.085,5.69,0,4.52,0.108,0
Rosan Resources Holdings Limited (SEHK:578),IQ883543,2011,411696.7,159495.7,68382.4,39020.4,27317.3,116.4,116.4,172.3,520,128.3,310.5,14.8,0
Rosedale Hotel Holdings Limited (SEHK:1189),IQ882403,2011,23.2,6.06,2.69,0.803,14.5,58.9,70.9,356.5,525.6,120.8,349.2,74.1,0
Rotary Engineering Limited (SGX:R07),IQ878709,2011,104.7,25.2,22.2,18.5,9.89,63.6,118.9,77.8,700.3,111,310.1,15.6,0.03
Rowsley Ltd. (SGX:A50),IQ44719596,2011,606.9,227.8,175.9,152.1,-11.2,11.3,11.3,3.1,60.3,0,29.8,1.43,0
Roxy-Pacific Holdings Limited (SGX:E8Z),IQ41869603,2011,28127.4,5530.2,2613.4,2383.7,1649.2,91.9,92.3,73.9,748.6,482.3,214.3,4.56,0.011
Royale Furniture Holdings Limited (SEHK:1198),IQ7646629,2011,566.2,169.1,57.2,49.8,40,50.7,52.2,186.9,382.9,69,256.5,84.1,0.016
Rui Kang Pharmaceutical Group Investments Limited (SEHK:8037),IQ10958243,2011,318.7,27.1,-3.75,-7.61,-6.36,4.19,10.7,4.85,32.8,6.48,16.3,0.383,0
Runway Global Holdings Company Limited (SEHK:1520),IQ250815489,2011,,,,,,2.34,3.21,3.48,21.8,0.722,6.96,0.261,0
Rykadan Capital Limited (SEHK:2288),IQ61745516,2011,56332.3,17970.6,7538.1,6914.5,4001.2,70.4,70.4,4.49,251.9,60.4,139.6,0.716,0.024
Ryobi Kiso Holdings Ltd. (SGX:BDN),IQ83035551,2011,,,,,,41.3,42,89.5,199.1,42.9,119.2,21.8,0.015
S E A Holdings Limited (SEHK:251),IQ2481344,2011,83.9,45.2,35.6,35.2,39.9,414.5,414.5,190.1,2469.6,597.6,1699.6,0,0.018
S i2i Limited (SGX:BAI),IQ95272,2011,42.6,39,36.5,36.4,76.1,109.4,126.1,14.7,382,36.2,287.7,4.31,0
S. Culture International Holdings Limited (SEHK:1255),IQ242242237,2011,7.78,4.1,-0.842,-1.49,-32.6,5.41,6.54,8.29,44.3,14.6,20.7,2.46,0
S.A.S. Dragon Holdings Limited (SEHK:1184),IQ4481594,2011,27.2,18.5,-4.25,-5.94,122.2,108.2,127.2,25.7,335.1,142.4,104.6,5.53,0.011
Sa Sa International Holdings Ltd. (SEHK:178),IQ777172,2011,7.5,2.14,-14.1,-14.4,-15.1,85,100.2,33.3,304.1,0,219.2,22.2,0.006
Sabana Shariah Compliant Industrial Real Estate Investment Trust (SGX:M1GU),IQ115380682,2011,44.3,13.8,4.69,2.12,-72.1,31.8,31.8,1043.9,1082.3,364.5,681.8,0,0
Safety Godown Company Ltd. (SEHK:237),IQ7654855,2011,10.5,17,6.78,6.54,6.78,3.35,26.9,269.2,330.1,0,316.7,0,0.023
Sage International Group Limited (SEHK:8082),IQ7652856,2011,19.1,11.3,9.91,9.66,78.9,5.66,5.66,2.76,69.1,20.4,34.5,4.45,0
Saizen Real Estate Investment Trust (SGX:T8JU),IQ37790522,2011,361.2,213.2,164.2,161,70.8,46.2,46.2,502.4,556,137,376.9,0,0.051
Sakae Holdings Ltd. (SGX:5DO),IQ8288335,2011,2352.2,930.2,674.8,655.1,463.1,6.1,11.3,38.9,64.4,24.1,27.2,14.2,0.01
Sam Woo Construction Group Limited (SEHK:3822),IQ269019110,2011,0.102,0.102,-5.11,-5.17,50.4,,,,,,,,
Samko Timber Limited (SGX:E6R),IQ40275494,2011,39.2,24.1,5.59,0.755,34.1,13.6,13.6,91.3,184.8,53,73.3,12.3,0
Samson Holding Ltd. (SEHK:531),IQ22238782,2011,407.8,309,125.5,107.7,88.3,361.6,409.6,188.5,906.9,103.8,719.5,8.59,0.006
Samson Paper Holdings Limited (SEHK:731),IQ4481964,2011,2070.7,634.5,144.7,101.6,69.9,110.6,111.7,215.6,763.2,333.4,198.1,78.5,0.002
Samsonite International S.A. (SEHK:1910),IQ34023,2011,1701.2,1028.8,1098.8,792.8,1513.4,183,183,165.8,2000.5,15.2,1224.2,48,0.027
Samudera Shipping Line Ltd (SGX:S56),IQ8088652,2011,348.4,35.4,19.5,18.3,15.3,39.7,43.1,485.3,646.4,272.5,307.2,106.2,0.003
